date,code,tv_rank,vol_rank,ret,drop_pct,close,high,gap_pct,hold_close_pct,is_52w_high,name
2026-03-31,028050,24,65,7.36842105263158,4.672897196261682,35700,37450,4.481792717086835,6.162464985994398,False,삼성E&A
2026-04-01,000270,32,232,6.955922865013764,1.0828025477707006,155300,157000,1.674179008370895,-3.0264005151320026,False,기아
2026-04-01,000660,2,44,10.656753407682773,1.3259668508287292,893000,905000,2.127659574468085,-7.054871220604703,False,SK하이닉스
2026-04-01,000720,26,199,12.526389866291353,1.1742892459826948,159900,161800,3.4396497811131956,-6.941838649155723,False,현대건설
2026-04-01,001510,21,4,16.58973662774912,2.275830678197542,4294,4394,1.1644154634373545,-10.852352119236143,False,SK증권
2026-04-01,003230,35,1180,9.666666666666668,0.30303030303030304,1316000,1320000,-0.5319148936170213,-3.2674772036474162,False,삼양식품
2026-04-01,005380,8,252,9.539842873176196,0.9137055837563453,488000,492500,2.2540983606557377,-4.610655737704918,False,현대차
2026-04-01,005930,1,8,13.397129186602875,0.628930817610063,189600,190800,1.5822784810126582,-5.9071729957805905,False,삼성전자
2026-04-01,005935,10,70,11.842105263157897,0.7009345794392523,127500,128400,0.39215686274509803,-6.980392156862745,False,삼성전자우
2026-04-01,006400,16,313,5.882352941176472,0.4608294930875576,432000,434000,0.5787037037037037,2.5462962962962963,False,삼성SDI
2026-04-01,006800,23,71,8.116883116883123,2.4890190336749636,66600,68300,1.6516516516516515,-7.5075075075075075,False,미래에셋증권
2026-04-01,009150,22,395,9.079754601226986,1.441241685144124,444500,451000,-0.11248593925759282,-6.186726659167604,False,삼성전기
2026-04-01,009540,49,587,8.284883720930235,1.5852047556142668,372500,378500,0.9395973154362416,-5.906040268456376,False,HD한국조선해양
2026-04-01,010120,50,304,10.584958217270191,1.9753086419753085,158800,162000,4.030226700251889,-4.408060453400504,False,LS ELECTRIC
2026-04-01,010140,30,42,10.429447852760742,1.4598540145985401,27000,27400,6.481481481481481,-0.3703703703703704,False,삼성중공업
2026-04-01,011070,29,423,16.865417376490633,1.4367816091954022,343000,348000,-1.749271137026239,-4.227405247813411,True,LG이노텍
2026-04-01,012450,17,772,6.725380304243389,2.272727272727273,1333000,1364000,6.151537884471118,6.301575393848462,False,한화에어로스페이스
2026-04-01,027360,34,16,15.394088669950733,3.202479338842975,9370,9680,2.6680896478121667,-6.296691568836713,True,아주IB투자
2026-04-01,028050,47,69,6.162464985994398,0.7853403141361256,37900,38200,2.3746701846965697,-7.387862796833773,False,삼성E&A
2026-04-01,032820,11,14,8.088235294117641,4.751619870410368,22050,23150,4.081632653061225,-6.349206349206349,False,우리기술
2026-04-01,034020,15,72,8.496732026143782,0.796812749003984,99600,100400,0.9036144578313252,-6.024096385542169,False,두산에너빌리티
2026-04-01,042660,48,236,5.657237936772042,0.0,127000,127000,2.5196850393700787,-6.062992125984252,False,한화오션
2026-04-01,042700,24,301,8.964143426294813,0.5454545454545455,273500,275000,2.5594149908592323,-6.39853747714808,False,한미반도체
2026-04-01,047040,3,3,24.951768488745984,2.2635814889336014,19430,19880,1.1322696860524961,-15.388574369531652,True,대우건설
2026-04-01,047810,31,257,14.086217364905895,1.05318588730911,187900,189900,0.4789781798829164,-1.9691325172964342,False,한국항공우주
2026-04-01,050890,19,13,15.36025336500395,4.333552199606041,14570,15230,1.7158544955387784,3.431708991077557,False,쏠리드
2026-04-01,064350,44,324,11.386430678466075,1.0482180293501049,188800,190800,5.13771186440678,6.726694915254237,False,현대로템
2026-04-01,086520,40,254,6.88172043010753,1.2582781456953642,149100,151000,1.4084507042253522,-4.493628437290409,False,에코프로
2026-04-01,100090,28,41,9.124767225325892,4.5602605863192185,29300,30700,-3.0716723549488054,-3.242320819112628,True,SK오션플랜트
2026-04-01,100790,27,39,6.168224299065428,6.270627062706271,28400,30300,2.8169014084507045,-9.330985915492958,False,미래에셋벤처투자
2026-04-01,218410,38,163,25.6,0.211864406779661,94200,94400,3.9278131634819533,-8.280254777070063,True,RFHIC
2026-04-01,272210,12,93,12.883435582822077,4.874446085672083,128800,135400,1.4751552795031055,0.3105590062111801,False,한화시스템
2026-04-01,353200,46,175,14.732724902216422,1.4557670772676372,88000,89300,0.0,-8.75,True,대덕전자
2026-04-01,375500,39,132,8.532934131736525,2.684563758389262,72500,74500,3.0344827586206895,-6.068965517241379,True,DL이앤씨
2026-04-01,376900,45,262,18.509615384615373,3.836150845253576,147900,153800,0.878972278566599,-7.6402974983096685,True,로킷헬스케어
2026-04-01,402340,9,273,7.395498392282951,2.7184466019417477,501000,515000,2.5948103792415167,-6.287425149700598,False,SK스퀘어
2026-04-02,003280,3,1,20.485175202156334,6.777893639207508,4470,4795,-7.829977628635347,-8.501118568232663,True,흥아해운
2026-04-02,012450,9,577,6.3015753938484576,4.127198917456021,1417000,1478000,0.07057163020465773,2.2582921665490474,False,한화에어로스페이스
2026-04-02,024060,14,21,17.53528773072748,5.664488017429194,21650,22950,0.23094688221709006,1.6166281755196306,False,흥구석유
2026-04-02,033790,45,23,19.260204081632647,0.0,9350,9350,1.6042780748663104,9.518716577540106,True,피노
2026-04-02,047050,50,166,5.019815059445176,1.2422360248447204,79500,80500,-0.7547169811320755,7.044025157232705,True,포스코인터내셔널
2026-04-02,064350,16,153,6.726694915254239,5.39906103286385,201500,213000,0.24813895781637718,4.218362282878412,False,현대로템
2026-04-02,066970,13,106,9.633649932157384,5.662580268534734,161600,171300,2.7846534653465347,2.9702970297029703,True,엘앤에프
2026-04-02,322000,15,110,7.613469985358701,3.606557377049181,147000,152500,-1.3605442176870748,30.0,True,HD현대에너지솔루션
2026-04-03,000250,11,320,6.403940886699511,2.1148036253776437,648000,662000,5.092592592592593,-4.62962962962963,False,삼천당제약
2026-04-03,000660,2,91,5.542168674698789,1.1286681715575622,876000,886000,0.1141552511415525,1.141552511415525,False,SK하이닉스
2026-04-03,009150,12,246,9.35251798561152,1.4054054054054055,456000,462500,-0.10964912280701754,1.3157894736842104,False,삼성전기
2026-04-03,009830,10,33,9.69101123595506,6.129807692307692,39050,41600,1.6645326504481435,-2.3047375160051216,False,한화솔루션
2026-04-03,010060,47,380,11.951219512195133,2.3404255319148937,229500,235000,-3.2679738562091507,-5.664488017429194,True,OCI홀딩스
2026-04-03,010170,3,3,25.889328063241113,2.7480916030534353,12740,13100,3.610675039246468,6.671899529042387,True,대한광통신
2026-04-03,010820,44,23,24.897400820793436,1.827956989247312,9130,9300,-1.4238773274917853,-13.362541073384445,True,퍼스텍
2026-04-03,011930,6,1,25.27272727272727,3.6363636363636362,3445,3575,0.8708272859216255,3.7735849056603774,True,신성이엔지
2026-04-03,028050,15,42,15.527065527065531,3.4523809523809526,40550,42000,6.041923551171394,12.577065351418002,True,삼성E&A
2026-04-03,033790,46,27,9.51871657754011,4.744186046511628,10240,10750,1.07421875,0.87890625,True,피노
2026-04-03,042660,32,179,7.292539815590948,1.0819165378670788,128000,129400,-0.9375,-4.6875,False,한화오션
2026-04-03,047050,37,132,7.044025157232703,2.408256880733945,85100,87200,-1.1750881316098707,-5.287896592244419,True,포스코인터내셔널
2026-04-03,050890,13,14,8.161911081619099,6.42939150401837,16300,17420,0.5521472392638037,-4.049079754601228,True,쏠리드
2026-04-03,079550,4,221,9.693877551020403,3.6954087346024638,860000,893000,-0.46511627906976744,-5.813953488372093,True,LIG디펜스앤에어로스페이스
2026-04-03,100090,18,34,6.525573192239853,4.430379746835443,30200,31600,-1.6556291390728477,-5.132450331125828,True,SK오션플랜트
2026-04-03,100790,30,51,6.601941747572826,7.885906040268456,27450,29800,0.7285974499089253,0.36429872495446264,False,미래에셋벤처투자
2026-04-03,112610,31,113,18.489984591679498,3.1486146095717884,76900,79400,-1.8205461638491547,-4.681404421326398,True,씨에스윈드
2026-04-03,329180,14,264,9.22551252847381,2.142857142857143,479500,490000,-0.6256517205422315,-1.7726798748696557,False,HD현대중공업
2026-04-03,375500,24,89,10.13215859030836,6.60024906600249,75000,80300,4.266666666666667,2.933333333333333,True,DL이앤씨
2026-04-03,475150,5,25,24.0,1.5873015873015872,68200,69300,-3.225806451612903,-9.090909090909092,True,SK이터닉스
2026-04-06,0010F0,14,14,22.05071664829108,6.106870229007633,11070,11790,-7.4074074074074066,-8.581752484191508,,보원케미칼
2026-04-06,001250,30,9,16.403785488959,4.651162790697675,3690,3870,-2.168021680216802,-6.775067750677506,True,GS글로벌
2026-04-06,001780,45,11,13.934426229508201,4.137931034482759,2780,2900,-3.41726618705036,-6.654676258992806,True,알루코
2026-04-06,008350,8,1,18.00554016620499,6.986899563318777,2130,2290,-3.9906103286384975,2.3474178403755865,True,남선알미늄
2026-04-06,010170,4,3,6.671899529042391,8.607935440484196,13590,14870,0.07358351729212656,-6.990434142752024,True,대한광통신
2026-04-06,018470,36,4,12.7808988764045,8.070978820835718,1606,1747,-2.179327521793275,-4.919053549190536,False,조일알미늄
2026-04-06,028050,7,34,12.577065351418003,4.29769392033543,45650,47700,12.376779846659366,4.70974808324206,True,삼성E&A
2026-04-06,049080,23,5,16.870415647921753,9.981167608286253,2390,2655,6.066945606694561,0.41841004184100417,True,기가레인
2026-04-06,103140,17,116,12.913223140495877,8.382229673093043,109300,119300,-1.0064043915827996,-6.587374199451052,False,풍산
2026-04-07,0007C0,37,75,19.33438985736926,5.7571964956195245,37650,39950,3.851261620185923,-0.6640106241699867,False,아크릴
2026-04-07,012450,10,627,6.000000000000005,0.517799352750809,1537000,1545000,-1.951854261548471,-3.4482758620689653,True,한화에어로스페이스
2026-04-07,024060,4,18,9.85576923076923,8.048289738430583,22850,24850,-19.212253829321664,-17.549234135667398,False,흥구석유
2026-04-07,066970,11,113,8.440797186400939,5.273937532002048,185000,195300,3.6756756756756754,-0.48648648648648646,True,엘앤에프
2026-04-07,321260,39,7,18.36734693877551,8.517350157728707,2900,3170,4.655172413793104,-4.655172413793104,True,프로이천
2026-04-07,394420,49,69,12.380952380952381,8.880308880308881,23600,25900,-1.2711864406779663,2.5423728813559325,,리센스메디컬
2026-04-07,450080,5,45,6.095791001451389,7.233502538071066,73100,78800,4.240766073871409,4.7879616963064295,True,에코프로머티
2026-04-08,000150,31,1113,14.775977121067685,1.6339869281045754,1204000,1224000,-0.9966777408637874,7.55813953488372,False,두산
2026-04-08,000270,32,267,5.57029177718833,0.5,159200,160000,0.06281407035175879,-5.464824120603015,False,기아
2026-04-08,000660,2,54,12.772925764192134,2.178030303030303,1033000,1056000,-1.7424975798644726,-3.3881897386253628,False,SK하이닉스
2026-04-08,000720,4,62,21.039127645926882,4.889112903225806,188700,198400,-3.2856385797562266,-2.808691043985162,True,현대건설
2026-04-08,001440,47,81,11.545293072824148,0.31746031746031744,31400,31500,-1.4331210191082804,-3.1847133757961785,False,대한전선
2026-04-08,005380,9,240,7.3995771670190225,0.39215686274509803,508000,510000,0.39370078740157477,-3.6417322834645667,False,현대차
2026-04-08,005930,1,7,7.124681933842236,1.8648018648018647,210500,214500,-1.66270783847981,-3.0878859857482186,False,삼성전자
2026-04-08,005935,7,80,6.64629488158901,0.6405693950177936,139600,140500,-1.002865329512894,-1.361031518624642,False,삼성전자우
2026-04-08,006800,24,114,10.08130081300813,0.4411764705882353,67700,68000,-1.1816838995568686,0.0,False,미래에셋증권
2026-04-08,007660,45,245,13.301886792452834,0.5794701986754967,120100,120800,-1.9150707743547042,-1.8318068276436303,False,이수페타시스
2026-04-08,009150,14,313,12.472647702406991,1.7208413001912046,514000,523000,-0.38910505836575876,0.38910505836575876,True,삼성전기
2026-04-08,009830,43,99,8.479138627187076,0.8610086100861009,40300,40650,-1.7369727047146404,-0.620347394540943,False,한화솔루션
2026-04-08,010130,10,554,7.603530210454856,0.6892230576441103,1585000,1596000,0.2523659305993691,-3.722397476340694,False,고려아연
2026-04-08,010170,5,2,16.218354430379755,3.2916392363396976,14690,15190,-0.2722940776038121,-3.4717494894486043,True,대한광통신
2026-04-08,015760,38,101,10.025062656641603,2.2271714922048997,43900,44900,0.5694760820045558,-1.1389521640091116,False,한국전력
2026-04-08,017670,35,159,9.068627450980383,0.5586592178770949,89000,89500,4.49438202247191,5.393258426966292,True,SK텔레콤
